,n_sample,logistic,SVM,deberta-v3-base,deberta-v3-nli
f1_macro_mean,0,0.0,0.0,0.0,0.46
f1_macro_mean,100,0.4,0.33,0.41,0.5
f1_macro_mean,500,0.44,0.46,0.59,0.6
f1_macro_mean,1000,0.49,0.5,0.67,0.64
f1_macro_mean,2500,0.53,0.57,0.71,0.7
f1_macro_mean,3188 (all),0.56,0.59,0.69,0.69
f1_micro_mean,0,0.0,0.0,0.0,0.9
f1_micro_mean,100,0.72,0.62,0.71,0.85
f1_micro_mean,500,0.75,0.78,0.86,0.87
f1_micro_mean,1000,0.8,0.82,0.9,0.88
f1_micro_mean,2500,0.85,0.89,0.91,0.91
f1_micro_mean,3188 (all),0.86,0.89,0.9,0.91
f1_macro_std,0,0.0,0.0,0.0,0.0
f1_macro_std,100,0.03,0.01,0.08,0.03
f1_macro_std,500,0.02,0.02,0.01,0.02
f1_macro_std,1000,0.01,0.01,0.01,0.01
f1_macro_std,2500,0.0,0.01,0.01,0.02
f1_macro_std,3188 (all),0.0,0.0,0.02,0.02
f1_micro_std,0,0.0,0.0,0.0,0.0
f1_micro_std,100,0.06,0.03,0.13,0.02
f1_micro_std,500,0.02,0.01,0.02,0.02
f1_micro_std,1000,0.01,0.01,0.01,0.01
f1_micro_std,2500,0.0,0.0,0.01,0.01
f1_micro_std,3188 (all),0.0,0.0,0.01,0.0
