,n_sample,logistic,SVM,deberta-v3-base,deberta-v3-nli
f1_macro_mean,0,0.0,0.0,0.0,0.02
f1_macro_mean,100,0.21,0.15,0.23,0.32
f1_macro_mean,500,0.29,0.3,0.27,0.45
f1_macro_mean,1000,0.3,0.3,0.43,0.47
f1_macro_mean,2500,0.34,0.35,0.48,0.49
f1_macro_mean,5000,0.34,0.38,0.5,0.51
f1_macro_mean,10000,0.39,0.4,0.52,0.53
f1_micro_mean,0,0.0,0.0,0.0,0.02
f1_micro_mean,100,0.36,0.34,0.35,0.38
f1_micro_mean,500,0.42,0.42,0.44,0.52
f1_micro_mean,1000,0.41,0.4,0.56,0.57
f1_micro_mean,2500,0.49,0.44,0.6,0.59
f1_micro_mean,5000,0.45,0.52,0.61,0.61
f1_micro_mean,10000,0.53,0.54,0.64,0.63
f1_macro_std,0,0.0,0.0,0.0,0.0
f1_macro_std,100,0.01,0.0,0.02,0.01
f1_macro_std,500,0.01,0.01,0.15,0.01
f1_macro_std,1000,0.0,0.0,0.01,0.01
f1_macro_std,2500,0.0,0.0,0.01,0.0
f1_macro_std,5000,0.0,0.0,0.0,0.01
f1_macro_std,10000,0.0,0.0,0.01,0.0
f1_micro_std,0,0.0,0.0,0.0,0.0
f1_micro_std,100,0.01,0.01,0.01,0.03
f1_micro_std,500,0.0,0.01,0.09,0.01
f1_micro_std,1000,0.01,0.0,0.01,0.02
f1_micro_std,2500,0.0,0.01,0.0,0.01
f1_micro_std,5000,0.0,0.0,0.01,0.0
f1_micro_std,10000,0.0,0.0,0.0,0.01
