,n_sample,logistic,SVM,deberta-v3-base,deberta-v3-nli
f1_macro_mean,0,0.0,0.0,0.0,0.38
f1_macro_mean,100,0.52,0.44,0.58,0.58
f1_macro_mean,500,0.53,0.55,0.64,0.69
f1_macro_mean,1000,0.5,0.64,0.69,0.7
f1_macro_mean,2116 (all),0.63,0.67,0.72,0.75
f1_micro_mean,0,0.0,0.0,0.0,0.72
f1_micro_mean,100,0.83,0.79,0.81,0.85
f1_micro_mean,500,0.83,0.87,0.86,0.9
f1_micro_mean,1000,0.79,0.91,0.9,0.9
f1_micro_mean,2116 (all),0.89,0.91,0.92,0.92
f1_macro_std,0,0.0,0.0,0.0,0.0
f1_macro_std,100,0.01,0.01,0.03,0.01
f1_macro_std,500,0.01,0.0,0.01,0.02
f1_macro_std,1000,0.01,0.01,0.01,0.02
f1_macro_std,2116 (all),0.0,0.0,0.02,0.02
f1_micro_std,0,0.0,0.0,0.0,0.0
f1_micro_std,100,0.02,0.02,0.05,0.01
f1_micro_std,500,0.01,0.01,0.02,0.01
f1_micro_std,1000,0.02,0.01,0.01,0.01
f1_micro_std,2116 (all),0.0,0.0,0.01,0.01
